Search product,Product Title,Product Price and unit
Молоко,Молоко 2.5% в бутылке,"('77', '900 мл')"
Молоко,Молоко 3.2%,"('75', '900 мл')"
Сыр,Сыр «Российский»,"('923', ' кг')"
Сыр,Сыр полутвердый Вкуснотеево Сливочный 45%,"('263', '200 г')"
