Search product,Product Title,Product Price and unit
Молоко,Молоко Простоквашино пастеризованное 2.5%,"('64', '930мл')"
Молоко,Молоко Моя Цена ультрапастеризованное 3.2%,"('52', '930мл')"
Сыр,Сыр творожный Hochland с зеленью 60%,"('125', '140г')"
Сыр,Сыр Брест-Литовск Финский 45%,"('220', '140г')"
