Search product,Product Title,Product Price and unit
Молоко,Молоко Parmalat Natura Premium ультрапастеризованное 3.5%,"('120', '1л')"
Сыр,Сыр Ламбер Классический 1/2 шара 50% 0.4-,"('116', '0.6кг')"
