Search product,Product Title,Product Price and unit
Молоко,Молоко детское ультрапастеризованное 3.2% Сарафаново,"('75', '970мл')"
Молоко,Молоко Эконива ультрапастеризованное 3.2%,"('84', '970мл')"
Сыр,Сыр Брест-Литовск Сливочный 50%,"('190', '200г')"
Сыр,Сыр творожный Hochland Сливочный 60%,"('110', '200г')"
