Search product,Product Title,Product Price and unit
Молоко,Молоко Parmalat ультрапастеризованное 3.5%,"('99', '1л')"
Молоко,Молоко Домик в деревне ультрапастеризованное 3.2%,"('90', '1л')"
Сыр,Сыр Ламбер полутвердый 50%,"('269', '230г')"
Сыр,Сыр Ламбер Классический 50%. ~,"('869', '230г')"
